Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,0.67061685,0.86044077,1.823373764,1.47017501,1.567094017,2.520359412,5.727991713,9.10806103,15.67193238,19.55900602,7.068212761,6.412192107,5.565568038,4.855381628,6.249202534,10.21949952,5.780430484,6.631858508,6.969109888,5.769237311,2.034295387,1.524630824,4.254677302,1.24107537,2.193739437,3.792832806,3.859701262,4.332193939,4.57363523,4.615779366,4.85726747,4.641623406,4.566841126,4.692005303,4.683621337,4.721298044,4.593864332,4.670561524,4.49690052,4.581278521,4.439238615,4.364812845,4.536211421,4.804484327,4.980995619,4.974311149,5.096289552,5.561524699,5.628318688,5.906292005,6.011268671,5.823804338,,,,
Australia,8.582936643,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.46126211,15.13390673,15.32258937,15.70601817,15.58130994,15.60098285,16.5060059,16.51664962,16.94000743,17.19223523,17.20252441,16.73506748,17.3723178,16.90619817,17.03034133,17.17438627,17.29387382,17.46700225,17.70407968,17.63183305,16.71090435,16.51920992,,,,
Austria,4.373318828,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.518022233,7.94835195,7.229977927,7.227191928,7.194347413,7.527052401,7.943997858,7.869650771,7.987899893,7.747095213,7.762359194,8.180002892,8.287318901,8.874662113,8.844004368,9.027746201,8.733506631,8.405092793,8.262046031,7.608851293,8.127692863,7.769983423,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.813362639,6.586411474,5.617069764,4.356500976,4.059066212,3.803022741,4.00297561,3.579835395,3.666271029,3.547105484,3.623944346,3.718169927,3.863229639,4.091801927,4.616299863,3.5553401,4.051383481,3.565668218,3.388225879,3.647379147,,,,
Burundi,,,0.015202573,0.016154716,0.015827251,0.011909579,0.015115038,0.014735443,0.016581181,0.021615415,0.018032098,0.020908925,0.020674675,0.020469155,0.02529766,0.020942939,0.023502041,0.025881431,0.026207124,0.027372978,0.035545483,0.037191783,0.036172651,0.045769938,0.047575832,0.048388881,0.049027749,0.052400265,0.048577138,0.055127945,0.052263073,0.058575946,0.052251256,0.054214014,0.054400843,0.051722143,0.05037235,0.047405324,0.045049693,0.043182164,0.042809203,0.029561001,0.029705089,0.021800204,0.025845471,0.019411377,0.022756803,0.02196433,0.021615102,0.020867637,0.020542078,0.021349926,,,,
Belgium,9.941594074,10.10387199,10.64118963,11.38692874,11.05365472,11.14165555,11.04201943,11.21725675,12.32568713,12.81544961,13.01017881,12.56342518,13.47269526,14.2554864,13.83696555,12.4583039,13.24167979,12.87543872,13.80705794,14.23923382,13.72329627,12.57955507,11.92668478,10.31207942,10.69696639,10.59744025,10.43154171,10.44717278,10.13514385,10.81351494,10.63967167,11.09099988,11.14648251,10.67503455,11.1051094,11.08115205,11.62383425,11.32885202,11.60191455,11.25370748,11.20784724,11.11303943,10.36491149,11.04114741,10.64264053,10.33509584,10.12287933,9.71371759,9.699598963,9.634775755,10.01260969,8.849398302,,,,
Benin,0.066354118,0.052045781,0.054201528,0.047579654,0.055295044,0.057114908,0.042394929,0.052319596,0.055230835,0.070849897,0.097105031,0.0987099,0.127891949,0.122623449,0.127816295,0.135983014,0.077823023,0.086539722,0.103038654,0.101340082,0.139064998,0.112249052,0.127787747,0.114215524,0.123291053,0.173630822,0.15699872,0.118573004,0.119745164,0.132690892,0.142976655,0.159910854,0.168410364,0.202977024,0.218621053,0.221772443,0.204833203,0.191382863,0.185408737,0.231754927,0.230065879,0.252987807,0.280412783,0.307110875,0.316583691,0.292647893,0.458607507,0.516298739,0.500183373,0.514277812,0.541771234,0.509962226,,,,
Burkina Faso,0.009111897,0.018729909,0.01700312,0.017504214,0.021575276,0.019841275,0.019533659,0.019216847,0.018894966,0.021889876,0.025426355,0.026268923,0.027698414,0.028443195,0.033998428,0.035749173,0.033314914,0.038968347,0.053341694,0.061009863,0.063420218,0.079795475,0.080427272,0.080923788,0.061836929,0.061686779,0.060571905,0.063518694,0.06626337,0.095737151,0.066589241,0.069287377,0.067840823,0.06564342,0.065745056,0.062147146,0.068229445,0.075638155,0.07856119,0.082550446,0.089716835,0.08351019,0.081747564,0.085214387,0.084722421,0.083875351,0.098340164,0.115429246,0.115427271,0.109774087,0.1076731,0.11998056,,,,
Bangladesh,,,,,,,,,,,,,0.05192953,0.066334334,0.066736729,0.068350464,0.076376762,0.077652827,0.078202389,0.08400439,0.093878675,0.09487752,0.100143152,0.093399511,0.10074583,0.110031468,0.11996804,0.120864332,0.134411176,0.130117492,0.14656494,0.146903476,0.159912482,0.153445767,0.163650969,0.192658144,0.198614945,0.202825216,0.190602088,0.196015725,0.212287044,0.242619016,0.247430419,0.24446636,0.282229562,0.262742269,0.332345776,0.319840389,0.334439662,0.352155282,0.370359878,0.372017166,,,,
Bulgaria,2.833901121,3.269920074,3.835891818,4.259780927,5.262987916,5.645651942,5.905436715,6.638369161,7.112214403,7.869932816,7.213424372,7.532552676,7.715656701,7.983550221,8.210958036,8.377877479,8.347946173,8.628766462,9.236529547,8.968132006,8.744238667,9.03643153,10.10727531,10.10833662,9.749961471,9.992783476,10.21729994,10.214134,9.718843491,9.771261867,8.690224309,6.73939778,6.376764779,8.035332854,6.436235483,6.900326395,6.763241038,6.209849583,5.934325293,5.356718076,5.328034342,5.792010306,5.672606662,6.046861677,6.012888437,6.18991912,6.357101164,6.916687364,6.778939404,5.729715977,5.966883548,6.71438251,,,,
Bahrain,3.542864352,10.54739644,9.193608577,6.714155733,8.747480495,6.557022226,3.384358282,5.121012421,5.492662463,6.162905812,12.16585954,13.76735897,16.03597749,23.02385558,21.43721519,21.57414712,23.16397093,24.63321967,24.00754843,23.72438154,21.9162911,22.78857334,25.49180205,20.75623728,22.61128915,24.30532276,25.4033016,25.4569972,26.14472041,24.39707478,25.5388068,24.20424052,21.91439852,29.31179484,29.080863,28.4198517,26.94021781,28.96998331,29.77842227,28.11597057,27.95664425,20.04231731,21.64210708,21.6236937,21.67099428,22.15390524,20.01475859,21.44329552,21.51999548,18.13623374,18.43502476,17.94732981,,,,
"Bahamas, The",3.74983109,4.746698752,5.996432199,5.55819871,8.118596528,9.399945733,7.466084556,11.17350449,10.2869904,10.62704414,15.20013463,38.72277085,36.495974,43.38030955,39.91963673,43.70144852,33.51349628,49.29813614,32.79192699,33.63762995,37.93028102,13.0062023,10.2714289,8.956413615,8.066838829,6.437609722,5.903831357,5.845721493,6.220877629,7.731341446,7.610436221,6.825147348,6.737845363,6.274733096,6.113815363,6.008020675,5.879253115,4.753575312,5.790252849,5.708374777,5.600991638,5.177430741,5.100139082,4.807931416,5.343508847,4.856024274,4.531865599,4.521353712,2.99808943,4.630520322,6.829321287,5.199844019,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961686462,0.711941344,0.809223407,0.883835858,1.117234098,2.220951782,2.805680397,2.742215454,3.635213155,3.516694138,3.755251294,3.795422854,4.080225109,4.227205673,4.575983248,4.580386562,5.231546645,5.37188996,5.513993843,6.19665215,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.563751566,7.271325422,6.445128092,6.093680596,5.920977854,5.883075714,5.72028692,5.562438864,5.34418061,5.297721696,5.310737861,5.483469429,5.964810791,6.112425644,6.437868284,6.305628975,6.592748741,6.341938992,6.556549631,6.682510398,,,,
Belize,0.47795108,0.38721872,0.715409338,0.622356888,0.818288542,0.794762582,0.737799971,1.073753982,0.884672715,1.13767399,0.990440256,1.146010962,1.240137478,1.13446873,1.172939546,1.320836554,1.302423323,1.44548182,1.556810005,1.479173154,1.322807334,1.242494884,1.13763218,1.106077525,1.074883686,1.156249242,1.2110161,1.304188704,1.392855746,1.638927345,1.66191243,1.880247165,1.830471231,1.911297219,1.854609824,1.824977532,1.441579228,1.754007076,1.608270478,2.516015128,2.7875558,2.789916428,1.398540057,1.430654846,1.434471268,1.462766389,1.488235638,1.536093806,1.473195826,1.495185156,1.721708659,1.670904302,,,,
Bermuda,3.551373874,3.868483516,3.383712446,3.151928721,4.124437628,3.586487026,3.954607843,4.090115385,4.220509434,3.667,4.133709091,4.231153846,4.668321033,7.906542751,8.30911985,8.648584906,8.822857143,8.515131086,7.936044776,8.588141264,7.981946223,7.0608901,7.142347022,8.064384051,7.863938465,7.92718549,7.412986651,9.952099431,11.12411949,13.33658503,10.07519469,8.636129513,6.946616606,8.154422,7.974426837,7.794814716,7.928121206,7.879894871,7.581543409,8.077751489,8.006161758,7.920213106,8.335150687,8.0491591,10.52809853,6.916279577,8.070207523,7.968299223,5.955019687,7.095328783,7.320035624,6.07721021,,,,
Bolivia,0.272037723,0.276621295,0.286626494,0.310159434,0.371215692,0.371151111,0.407084848,0.44656968,0.50373838,0.577436614,0.551786663,0.665553985,0.760236181,0.720636406,0.717366156,0.810373151,0.89457664,0.856199953,0.939655385,0.866274904,0.835142834,0.839129259,0.745316773,0.719868684,0.664043162,0.664145932,0.595940954,0.623387096,0.653551374,0.742885591,0.806005065,0.829103981,0.935813472,1.108596111,1.204561642,1.250325769,1.29765447,1.400948435,1.427278992,1.373997368,1.225922572,1.156244814,1.10560774,1.60366373,1.458991452,1.322472482,1.586749065,1.318203858,1.412189336,1.459841011,1.547659087,1.599499039,,,,
Brazil,0.647067792,0.658624758,0.697280743,0.700749314,0.694000898,0.67037227,0.743447849,0.744966531,0.848797467,0.90094202,0.976861083,1.043022036,1.134051462,1.282056059,1.355330722,1.394106345,1.396830539,1.432295134,1.518254074,1.578013854,1.531021008,1.373270556,1.3445549,1.271861926,1.260216376,1.32456548,1.424006917,1.456991513,1.442390789,1.448050239,1.388939574,1.434312838,1.420434655,1.462108834,1.511002399,1.587339242,1.722791601,1.790103371,1.831430313,1.849075569,1.865808376,1.891238736,1.835266279,1.751490659,1.815133482,1.842690495,1.823133072,1.884034471,1.990428942,1.866522375,2.113414545,2.191393564,,,,
Barbados,0.746312799,0.838898625,1.119410622,0.816329676,0.766085262,0.87245351,1.134077266,1.425762826,1.85515116,2.019145815,1.796292187,2.016530716,2.080752648,1.9770228,2.009405453,2.310198225,2.148829634,2.373081175,2.522542844,2.394289263,2.67540058,2.709534535,2.542555036,2.694257706,2.931358373,3.309812487,3.570760853,3.658331037,3.65956739,3.816052171,4.126491124,4.617415732,3.734358313,4.237195495,2.833429919,3.127776813,3.199007295,3.379293035,4.256171883,4.499888443,4.403041825,4.511171616,4.525009301,4.660168001,4.739998755,4.938170817,4.986394706,5.178740847,5.871114076,5.833678079,5.430338453,5.580177618,,,,
Brunei Darussalam,4.078179041,3.552009056,4.133421872,3.798174052,3.482288912,3.254786637,4.573085156,3.905218317,3.630508733,3.937122099,63.28895621,55.39030033,66.7028117,67.41254972,53.0117167,44.03620047,36.01609847,36.79108994,52.90359676,39.83351536,35.65247051,7.384234895,10.21089822,12.82988437,8.842337005,11.63975629,10.02192069,14.06320451,23.55037281,25.41694496,24.17654774,20.98678342,20.23672649,18.85171799,17.40218424,17.27782109,17.095345,17.30822674,17.57856618,13.06844095,18.47067348,17.06902045,14.13904591,13.95225957,13.62882766,12.76750606,11.60411517,24.17840939,26.33827137,22.14902862,21.8732221,24.39201338,,,,
Bhutan,,,,,,,,,,,0.012581616,0.012156352,0.011726445,0.011301681,0.010891745,0.01050277,0.010133697,0.019567717,0.028372764,0.054953069,0.053330295,0.060556233,0.07597638,0.065954868,0.112550013,0.132916143,0.113611249,0.204961753,0.212757316,0.117779869,0.239670965,0.349775005,0.409693515,0.360447299,0.415904353,0.489993063,0.594017686,0.760266991,0.721706972,0.702122771,0.708458366,0.669271192,0.698568399,0.612679529,0.485668561,0.608197947,0.588329935,0.575767714,0.606778515,0.549145981,0.677145031,0.766205619,,,,
Botswana,,,,,,,,,,,,,0.02974232,0.067092973,0.111049282,0.227506572,0.695727637,0.879789546,0.901553658,0.982028122,0.990055514,0.976141086,1.028167355,0.930741765,0.912973174,0.979567891,1.083589813,1.218726601,1.243866419,1.32468337,1.578617118,1.513178668,2.242202248,2.33165862,2.270529226,2.235619565,1.947449695,1.951757333,2.28352892,2.075658757,2.462152312,2.459187385,2.510108738,2.355629411,2.385073131,2.476794833,2.450894169,2.435256168,2.530551369,2.192294586,2.555293381,2.323345006,,,,
Central African Republic,0.058535378,0.05755057,0.047113813,0.046248971,0.045369205,0.05337603,0.05011724,0.053344141,0.104457459,0.10435343,0.114298604,0.098323803,0.08874721,0.083281416,0.057529778,0.050895741,0.062256494,0.060872683,0.06794377,0.046378137,0.046762778,0.057976062,0.059299836,0.059010342,0.058765291,0.061409198,0.059951429,0.094635251,0.082222072,0.08685321,0.067402765,0.06820173,0.070036622,0.070544851,0.07212962,0.070353494,0.068679194,0.0702388,0.069710385,0.072269805,0.071843143,0.064745695,0.063653562,0.059819121,0.053332885,0.052442445,0.055087916,0.055850117,0.054828457,0.053809109,0.059398336,0.063127814,,,,
Canada,10.77084729,10.62789765,11.13062748,11.1321024,12.3053704,12.81400147,12.93491815,13.8103546,14.6326452,14.61864861,16.01414875,16.29009027,17.329425,17.05995183,17.12344306,17.11161334,16.97924845,17.15211666,17.30306507,18.2093278,18.02276896,17.26921369,16.45944925,16.0546492,16.55885484,16.27010385,15.45768406,16.24667458,16.95682428,16.92078279,15.65907038,15.14925974,15.44932016,15.45655467,15.6965288,15.92722736,16.15885457,16.4937471,16.74353274,16.90086481,17.37045161,16.98502952,16.55937785,17.46386176,17.26361022,17.42608062,16.89360819,17.05189953,16.36616459,15.08909766,14.58905354,14.13581338,,,,
Central Europe and the Baltics,5.114244335,5.340754597,5.669339052,6.076289142,6.466861574,6.617132269,6.77802843,6.986404661,7.395878346,7.890808546,8.167374441,8.372434863,8.679510069,8.97477001,9.190744947,9.719036179,10.2048707,10.53814103,11.00557808,11.05644172,11.28523845,10.5351777,10.74596786,10.79056306,10.72474987,10.86820788,11.01490139,11.2738725,10.84859873,10.52793449,8.847908366,8.240976204,7.850811435,7.792638008,7.328595803,7.552544537,7.715610449,7.512152618,7.097997444,6.6996958,6.603342005,6.812883304,6.708047635,6.945633007,6.905416225,6.970132745,7.233169307,7.269871547,7.152043954,6.521375215,6.839720052,6.911131207,,,,
Switzerland,3.664365979,3.751824984,4.333572069,5.111295488,4.865282038,5.185731956,5.327620031,5.434600874,5.937701579,6.208288851,6.519570443,6.750434987,6.863739819,7.334759289,6.541311271,6.168137541,6.423427895,6.540985491,6.720778708,6.340850586,6.414949786,6.11563526,5.73116759,6.242518469,6.08124526,6.155338532,6.502824669,6.150039281,6.174526108,5.937782989,6.345085168,6.280297083,6.224236273,5.873423831,5.90858368,5.571316975,5.640102519,5.849483122,5.865651918,5.697100262,5.435484985,5.942384452,5.589533097,5.478264412,5.466042594,5.563281057,5.595605199,5.034944631,5.281605848,5.372291182,4.952499256,4.625229924,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1.75304482,1.838272896,2.076588315,2.106925052,2.080412635,2.062989124,2.134900941,2.140990127,2.310136976,2.405428706,2.579437616,2.781424141,2.842911421,2.741331765,2.530944779,2.208521015,2.277272419,2.150449344,2.103804022,2.245873109,2.248964336,2.153787614,1.781971945,1.77477941,1.862197809,1.775872572,1.808137349,1.812758965,2.117466603,2.505083076,2.535133011,2.345618342,2.393682526,2.513121072,2.724034867,2.94104334,3.368968784,3.864226566,3.897700791,4.106270865,3.876961939,3.486635212,3.55976955,3.534984654,3.77389618,3.84046304,3.98128427,4.35156491,4.316439805,3.969434147,4.24672531,4.61644538,,,,
China,1.170381372,0.836046901,0.661428164,0.640001899,0.625646054,0.665524211,0.710891382,0.574162147,0.605451997,0.725149509,0.942934535,1.042239697,1.080676637,1.098195691,1.097367111,1.250124095,1.285283136,1.388842897,1.52920111,1.542675099,1.495250749,1.460431817,1.566739684,1.629055908,1.75044806,1.871054791,1.939434257,2.038410689,2.150905225,2.153077911,2.167703077,2.245901276,2.31420729,2.442800659,2.565993892,2.755754966,2.844309582,2.820567891,2.67674598,2.648649247,2.696862433,2.742120813,2.885225041,3.512245428,4.080138906,4.441150695,4.892727098,5.153564017,5.311151855,5.778143184,6.172488876,6.710301991,,,,
Cote d'Ivoire,0.132972288,0.153721674,0.156855909,0.160260308,0.188344991,0.27808355,0.294189799,0.324270273,0.367893244,0.416391703,0.465902722,0.49315711,0.524437451,0.53286982,0.564472595,0.603914238,0.573142555,0.560377127,0.636554737,0.685443084,0.75287183,0.517596868,0.678621479,0.515857499,0.553291013,0.721268183,0.565616732,0.702227983,0.807979838,0.725613209,0.476538744,0.447281467,0.35442017,0.436518645,0.376324148,0.49515042,0.564165507,0.534357649,0.439476295,0.388336309,0.411145743,0.458120175,0.423983154,0.312160239,0.430502632,0.431561606,0.378474934,0.364908082,0.356768972,0.297496879,0.292351513,0.312877703,,,,
Cameroon,0.050613584,0.051577046,0.051788526,0.052576832,0.057664585,0.052056133,0.056222241,0.072981015,0.078613276,0.086668255,0.094234398,0.116624672,0.120787752,0.122602408,0.129543206,0.150182114,0.137290785,0.191235906,0.237627774,0.210964199,0.43722594,0.580668865,0.669143785,0.674434462,0.601530825,0.623818598,0.187436983,0.168200107,0.194470042,0.651905547,0.144002179,0.08938642,0.296586888,0.295997525,0.281789095,0.313270864,0.321437704,0.218624577,0.212370347,0.198545221,0.215493084,0.209262636,0.203680529,0.220421346,0.223952228,0.20391329,0.207631788,0.305805976,0.283310454,0.332458227,0.325727347,0.268091793,,,,
"Congo, Rep.",0.220689812,0.257403607,0.223260157,0.214033353,0.2376092,0.212184074,0.258768558,0.263631692,0.358199319,0.387597144,0.428474485,0.498281123,0.467642262,0.834062588,1.075900734,0.706820714,0.770701976,0.290937622,0.189845633,0.199081755,0.225919804,0.254955963,0.704306573,0.581473026,0.563089783,0.614203071,0.498054869,0.601145903,0.662897526,0.648540594,0.497852264,0.516347125,0.625527306,0.598072061,0.810902337,0.575394934,0.613810994,0.815416904,0.263258078,0.270915699,0.33730179,0.240713305,0.176770805,0.275171061,0.278308394,0.353815464,0.31028035,0.32666481,0.34155941,0.431598927,0.473472226,0.538098379,,,,
Colombia,0.995718607,1.072742918,1.11098569,1.178780737,1.168263519,1.195438989,1.19168653,1.216834769,1.27261456,1.305148707,1.287534856,1.341150986,1.360066658,1.423460807,1.50691023,1.449945791,1.504107306,1.519168331,1.572806523,1.638778565,1.59911255,1.566771773,1.581777555,1.665689867,1.613838111,1.56001615,1.55040957,1.561896635,1.590434763,1.583188771,1.673025884,1.635914748,1.744983272,1.768803766,1.8350167,1.592181263,1.590776062,1.679619098,1.681617087,1.419215476,1.433620205,1.372902655,1.33889957,1.362245036,1.28898988,1.407985319,1.435823423,1.406899642,1.451147307,1.484764251,1.711390678,1.560629099,,,,
Comoros,0.058289002,0.057348249,0.056426959,0.055503141,0.054550864,0.071407707,0.087502863,0.085662359,0.083800287,0.081988472,0.128417154,0.12583807,0.123365728,0.120786413,0.117852652,0.128762548,0.152080804,0.146415919,0.10236476,0.073890484,0.154516106,0.149598787,0.145181282,0.141099827,0.137163787,0.153761646,0.139337699,0.154567177,0.159380569,0.154686193,0.185494672,0.18010974,0.17491573,0.169922858,0.165141569,0.168220129,0.133892113,0.130311436,0.140989657,0.151100656,0.153992361,0.156730333,0.159316196,0.167954198,0.170030255,0.177827852,0.190925098,0.180694914,0.181858212,0.177475819,0.188940811,0.220233473,,,,
Cabo Verde,0.108750667,0.106827606,0.086950955,0.067621581,0.131049702,0.110916185,0.091764853,0.07371358,0.113935948,0.138437435,0.135715793,0.134296272,0.187510044,0.228171633,0.242215853,0.282516739,0.268031064,0.292849909,0.751456038,0.885638685,0.423709467,0.113635738,0.123855427,0.121353922,0.27361144,0.268622442,0.183831984,0.249015347,0.223012154,0.241197346,0.257894367,0.262433944,0.286426035,0.278690527,0.290445476,0.292111647,0.348794017,0.348978173,0.366801307,0.401207237,0.426262203,0.467230869,0.539506276,0.546869833,0.562968965,0.618610614,0.644052983,0.769548992,0.591177784,0.625391176,0.598231164,0.859061433,,,,
Costa Rica,0.368614042,0.3555763,0.383956811,0.405108211,0.438980244,0.532878509,0.605141674,0.517145991,0.59406882,0.638248027,0.67632931,0.805502732,0.905898057,1.025274785,0.932175715,0.972080804,0.969802816,1.184281843,1.289674175,1.200947433,1.031354253,0.917449667,0.827603372,0.812707824,0.752764523,0.830041854,0.930828287,0.960090021,0.998768577,0.98508887,0.954653659,1.050797725,1.163997258,1.1831847,1.538223226,1.385990587,1.320299561,1.354192887,1.411369579,1.434891295,1.394701499,1.441367344,1.556793302,1.605990591,1.655258048,1.616889089,1.647634719,1.85890149,1.880064504,1.693682921,1.665177867,1.704974495,,,,
Caribbean small states,1.402640778,2.061488042,2.703874757,1.349137365,2.359684452,2.598216746,2.526443802,2.97559786,2.940425169,3.081349133,4.29292692,5.072393753,5.116226028,6.06101928,5.758080648,6.098520354,6.638567199,7.292729028,6.932601354,6.937333404,7.098712306,5.887380304,5.647432802,5.053198444,5.041726847,5.525586314,4.783764757,4.986687345,4.611632843,5.050166933,5.367885842,6.094622091,5.987489229,5.338671191,5.832355731,6.181267809,6.325386,5.923377575,5.846830975,6.412988877,6.617365659,6.852068369,7.029122882,7.172951984,7.632204092,7.365015007,10.04397244,10.53809135,9.97153272,9.758620381,10.00450459,9.692960268,,,,
